Id,BBPB,BBW,CBSP,CLSP,CUSP,IIN,TC,V,PCP,CP
387,0.2376,0.006,46,1,53,5,48,43,0,12798200
388,0.0009,0.0067,63,0,36,5,44,12,-0.19,12773400
389,0.2839,0.0068,12,87,2,5,42,9,0.18,12796600
390,0.2614,0.007,7,63,29,5,39,6,-0.03,12793000
391,0.3781,0.007,20,0,80,5,52,11,0.07,12802500
392,0.7414,0.007,96,2,2,5,39,8,0.25,12834800
393,0.7033,0.007,4,96,0,5,36,8,-0.02,12832000
394,1.0472,0.0077,85,0,15,5,72,46,0.28,12868500
395,0.1207,0.0082,98,2,0,5,86,44,-0.74,12772900
396,0.408,0.0082,53,0,47,5,47,38,0.23,12802800
397,0.5169,0.0082,32,62,6,5,47,12,0.09,12813800
398,0.2275,0.0083,54,0,46,5,27,14,-0.24,12782600
399,0.2581,0.008,3,0,97,5,57,33,0.01,12783400
400,0.628,0.0071,23,40,38,5,31,20,0.27,12817500
401,0.6122,0.0068,9,91,0,5,16,14,-0.02,12814600
402,0.5718,0.0068,15,85,0,5,25,5,-0.03,12811300
403,0.5394,0.0068,12,66,22,5,41,20,-0.02,12808600
404,0.3629,0.0068,68,32,0,5,13,2,-0.12,12792900
405,0.2263,0.007,71,0,29,5,52,21,-0.11,12779200
406,0.6708,0.0071,54,1,46,5,90,40,0.32,12820500
407,0.3834,0.0071,32,0,68,5,63,29,-0.21,12794100
408,0.3715,0.0068,20,22,58,5,45,8,0,12794600
409,0.4009,0.0068,48,52,0,5,17,3,0.02,12797200
410,0.0354,0.0075,24,57,19,5,106,84,-0.29,12759800
411,0.0121,0.0083,26,46,29,5,54,47,-0.08,12749400
412,0.1865,0.0084,56,28,15,5,42,29,0.12,12764500
413,0.0667,0.0087,39,0,61,5,14,8,-0.15,12745400
414,-0.0184,0.0078,30,70,0,5,55,67,-0.08,12735300
415,0.0391,0.0085,5,35,60,5,49,12,0,12734800
416,0.001,0.0095,97,3,0,5,25,28,-0.11,12720400
417,0.0851,0.01,24,49,27,5,49,17,0.03,12723700
418,0.0956,0.0107,17,83,0,5,115,73,-0.05,12717900
419,0.2089,0.0111,46,54,0,5,80,22,0.09,12729300
420,0.0723,0.0115,31,60,9,5,72,25,-0.21,12702000
421,0.499,0.0109,80,20,0,5,107,35,0.47,12762000
422,0.3534,0.0104,70,18,12,5,43,10,-0.18,12739000
423,0.1336,0.0104,100,0,0,5,29,10,-0.27,12704700
424,0.0249,0.0111,37,6,58,5,83,13,-0.19,12680300
425,0.123,0.0116,18,7,75,5,81,17,0.06,12687300
426,0.1407,0.0108,1,0,99,5,90,56,0,12687000
427,0.0744,0.0108,31,18,51,5,75,21,-0.12,12671600
428,0.073,0.0107,77,0,23,5,90,18,-0.04,12666000
429,0.1341,0.0098,47,41,12,5,137,17,0.05,12671900
430,0.1776,0.0098,39,36,24,5,50,9,0.01,12673200
431,0.1577,0.0099,28,72,0,5,37,9,-0.06,12665900
432,0.0395,0.01,27,29,44,5,62,17,-0.17,12644400
433,0.0142,0.0107,32,31,37,5,161,31,-0.1,12631500
434,0.0818,0.0112,48,52,1,5,69,26,0.01,12632900
435,0.0588,0.0118,22,37,41,5,171,80,-0.1,12620700
436,-0.0885,0.0137,89,11,0,5,215,48,-0.34,12577300
437,-0.0314,0.0153,99,1,0,5,157,41,-0.07,12569000
438,-0.1709,0.0189,81,0,19,5,293,41,-0.55,12500300
439,-0.2338,0.0247,72,3,25,5,591,146,-0.67,12416000
440,-0.1762,0.0311,43,35,22,5,445,149,-0.43,12362700
441,-0.0029,0.0333,22,70,7,5,463,131,0.29,12398600
442,0.056,0.0351,25,40,36,5,121,25,-0.01,12396800
443,0.0674,0.0372,12,88,0,5,135,54,-0.18,12373900
444,0.111,0.0391,10,14,75,5,67,30,-0.03,12370000
445,0.0828,0.0411,65,0,35,5,67,17,-0.34,12327600
