BBPW,BBW,IntervalInMinute,TC,V,PCP
0.4567,0.0051,5,42,39,-0.17
0.4198,0.0048,5,38,13,-0.01
0.2753,0.0047,5,53,134,-0.06
0.5372,0.0038,5,78,148,0.14
0.5164,0.0035,5,47,59,0
0.7137,0.0036,5,60,102,0.08
0.9319,0.003,5,56,29,0.07
0.4447,0.0029,5,53,64,-0.14
1.0572,0.0032,5,22,4,0.2
0.5167,0.0031,5,36,9,-0.17
0.6513,0.0031,5,15,16,0.05
1.0116,0.0035,5,10,4,0.14
0.7708,0.0036,5,44,55,-0.08
0.7283,0.0037,5,39,51,-0.01
0.8202,0.0038,5,44,25,0.04
0.7946,0.004,5,65,31,0
0.7106,0.004,5,52,30,-0.03
0.687,0.0041,5,52,27,0
0.6688,0.0039,5,91,28,0
1.0385,0.0045,5,60,19,0.19
0.5967,0.0043,5,58,47,-0.19
1.3756,0.0066,5,281,99,0.58
1.2394,0.0083,5,91,23,0.08
1.0493,0.0094,5,95,76,-0.06
0.9255,0.0099,5,78,42,-0.06
0.9969,0.011,5,50,16,0.16
0.8489,0.0115,5,57,45,-0.11
0.8464,0.0117,5,52,38,0.04
0.8117,0.0121,5,59,81,0
0.9326,0.0126,5,70,26,0.22
0.4088,0.0122,5,116,37,-0.64
0.3844,0.0121,5,59,70,-0.02
0.9123,0.0126,5,223,210,0.71
0.832,0.0128,5,176,91,-0.05
0.6826,0.0124,5,126,29,-0.16
0.4676,0.0119,5,94,25,-0.25
0.2326,0.0115,5,84,27,-0.26
0.3202,0.0108,5,72,18,0.13
0.0508,0.0109,5,125,94,-0.3
0.2702,0.0108,5,68,56,0.24
0.1653,0.0104,5,42,19,-0.09
0.4215,0.0104,5,50,11,0.26
0.4327,0.0103,5,75,41,0
0.2367,0.0105,5,15,3,-0.23
0.4541,0.0105,5,56,51,0.22
0.5024,0.0102,5,51,48,0.04
0.5961,0.0101,5,59,36,0.09
0.4901,0.0099,5,86,122,-0.12
0.6162,0.0098,5,88,133,0.12
0.6252,0.0089,5,53,33,-0.02
0.4907,0.0088,5,42,23,-0.11
0.4143,0.0086,5,38,10,-0.06
0.5385,0.0074,5,101,96,0.08
0.7022,0.0062,5,53,26,0.08
0.4013,0.0055,5,76,212,-0.2
0.7141,0.0056,5,89,39,0.18
1.119,0.0065,5,151,66,0.31
1.191,0.0083,5,203,56,0.21
0.9963,0.0083,5,111,80,-0.12
0.8604,0.0085,5,51,14,-0.08
1.1373,0.0097,5,76,29,0.36
0.962,0.0107,5,86,17,-0.09
0.8858,0.0113,5,80,44,-0.03
1.1015,0.0127,5,518,128,0.39
1.037,0.0143,5,70,19,0.06
0.8637,0.0149,5,143,106,-0.18
0.799,0.0153,5,97,48,-0.05
0.8578,0.0158,5,125,192,0.16
0.8212,0.0162,5,78,54,0
0.7418,0.0162,5,59,80,-0.09
0.7595,0.0158,5,50,63,0.07
0.7721,0.0151,5,64,45,0.06
0.8071,0.0146,5,33,7,0.09
0.4959,0.0135,5,116,23,-0.42
0.5409,0.0111,5,35,8,0.1
0.6323,0.0091,5,32,26,0.12
0.6177,0.0082,5,61,35,0
0.4081,0.0079,5,55,17,-0.16
0.3792,0.0071,5,90,19,0
0.0545,0.0061,5,101,23,-0.17
0.0738,0.0065,5,36,15,-0.01
0.0794,0.0067,5,48,11,-0.01
0.0602,0.0069,5,76,33,-0.03
-0.0062,0.0076,5,29,11,-0.11
0.2229,0.0075,5,64,24,0.15
0.1195,0.008,5,26,10,-0.12
0.0533,0.0088,5,100,30,-0.11
-0.009,0.0096,5,62,41,-0.14
-0.0753,0.0109,5,75,34,-0.19
-0.0476,0.0123,5,58,10,-0.1
0.2073,0.0124,5,28,13,0.28
0.104,0.0125,5,50,48,-0.18
0.1901,0.0117,5,44,11,0.08
0.298,0.0118,5,39,19,0.1
0.318,0.0115,5,31,13,0
0.0915,0.0114,5,56,37,-0.31
0.0643,0.0112,5,50,18,-0.08
0.1348,0.011,5,71,23,0.04
0.1266,0.0107,5,48,26,-0.04
0.1469,0.0108,5,37,113,-0.02
0.1287,0.0108,5,60,94,-0.06
0.0891,0.0109,5,108,112,-0.09
0.1863,0.0106,5,59,26,0.08
0.0669,0.0109,5,60,13,-0.19
0.2258,0.0099,5,48,33,0.16
0.0966,0.0094,5,77,64,-0.16
0.1697,0.009,5,67,38,0.05
0.3142,0.0085,5,27,10,0.11
0.4409,0.0084,5,67,20,0.1
0.2747,0.0086,5,46,41,-0.16
0.4587,0.0078,5,45,20,0.14
0.2547,0.0077,5,31,12,-0.18
0.2054,0.0074,5,84,16,-0.06
0.0412,0.0068,5,183,95,-0.13
-0.0112,0.0057,5,70,40,-0.02
0.031,0.0059,5,80,27,-0.01
0.0303,0.0063,5,61,144,-0.04
0.0184,0.0066,5,41,69,-0.05
0.1661,0.0066,5,52,26,0.07
0.0217,0.0069,5,45,9,-0.14
0.0951,0.0072,5,106,112,0.01
0.128,0.0075,5,70,14,-0.01
-0.0445,0.0084,5,51,22,-0.21
0.1129,0.0089,5,36,10,0.09
0.3232,0.0087,5,65,30,0.17
0.3231,0.0088,5,97,18,-0.02
0.12,0.0092,5,131,53,-0.22
0.0681,0.0094,5,141,77,-0.1
0.07,0.0092,5,50,23,-0.03
0.1196,0.0092,5,46,45,0.01
0.2221,0.0081,5,69,152,0.09
0.2611,0.0074,5,61,129,0.02
0.1356,0.0071,5,64,15,-0.11
0.1759,0.007,5,98,36,0.01
0.5246,0.0066,5,59,58,0.23
0.239,0.0063,5,34,21,-0.2
0.5522,0.0059,5,25,6,0.19
0.6006,0.0057,5,111,94,0.02
0.6138,0.0051,5,73,25,-0.01
0.5325,0.0049,5,60,25,-0.05
0.5407,0.0046,5,60,65,-0.01
0.4131,0.0044,5,26,25,-0.07
0.6699,0.0044,5,81,44,0.12
0.6632,0.0044,5,36,44,0
0.9945,0.0044,5,106,54,0.15
0.8819,0.0043,5,88,20,-0.06
0.6555,0.0043,5,71,10,-0.09
0.7124,0.0042,5,81,50,0.03
1.1866,0.0051,5,113,61,0.29
0.6459,0.0049,5,63,28,-0.27
0.5644,0.0048,5,59,20,-0.03
0.5418,0.0047,5,34,9,-0.01
0.5418,0.0043,5,105,42,0.01
0.5199,0.0038,5,43,70,0
0.1831,0.004,5,117,55,-0.14
-0.1483,0.0044,5,93,42,-0.17
0.2743,0.0045,5,92,44,0.18
-0.1848,0.0058,5,94,58,-0.32
0.1311,0.0062,5,113,76,0.16
0.1111,0.0066,5,38,28,-0.04
0.4107,0.0067,5,69,23,0.2
0.5068,0.0066,5,25,14,0.07
0.3409,0.0067,5,35,29,-0.12
0.5654,0.0067,5,51,12,0.15
0.6083,0.0064,5,94,76,0.02
0.5777,0.0063,5,54,28,-0.03
0.6788,0.0064,5,31,12,0.07
0.6485,0.0064,5,28,8,-0.02
0.4346,0.0053,5,36,26,-0.15
0.1754,0.0054,5,64,26,-0.16
0.7328,0.0054,5,54,37,0.3
0.3299,0.0054,5,70,100,-0.23
0.4871,0.0052,5,20,5,0.08
0.428,0.0051,5,37,6,-0.04
0.5568,0.0051,5,49,15,0.07
0.4843,0.0049,5,35,22,-0.03
0.6548,0.0049,5,72,21,0.09
0.5663,0.0041,5,63,33,-0.03
0.4856,0.0038,5,42,38,-0.02
0.3636,0.0033,5,30,5,-0.03
0.7586,0.0034,5,21,23,0.14
1.0209,0.0039,5,52,14,0.12
1.0567,0.0044,5,15,1,0.06
0.9737,0.0049,5,36,5,0
0.7762,0.005,5,18,13,-0.09
0.3984,0.005,5,16,19,-0.19
0.7729,0.0051,5,4,0,0.19
0.4153,0.0051,5,59,26,-0.19
0.7971,0.0052,5,24,12,0.21
0.7333,0.0048,5,57,74,-0.02
0.6994,0.0049,5,45,17,-0.01
0.4391,0.0046,5,34,11,-0.12
0.6776,0.0045,5,40,66,0.12
0.6613,0.0043,5,55,312,0
0.5684,0.0041,5,38,46,-0.03
0.7589,0.004,5,57,194,0.09
0.8445,0.0041,5,71,52,0.05
1.1509,0.0049,5,72,74,0.2
0.8953,0.005,5,29,49,-0.1
1.1865,0.0058,5,64,66,0.23
0.8397,0.006,5,17,18,-0.18
0.9575,0.0066,5,51,15,0.11
0.8707,0.007,5,36,12,-0.03
0.7853,0.0072,5,27,5,-0.04
0.7456,0.0074,5,60,14,-0.01
0.6747,0.007,5,51,11,-0.04
0.9954,0.0077,5,120,25,0.29
0.943,0.0077,5,9,3,0
0.9294,0.0083,5,56,21,0.04
0.7297,0.0082,5,46,65,-0.14
0.6965,0.008,5,40,161,-0.01
0.6787,0.0073,5,66,14,0
0.5873,0.0068,5,27,22,-0.05
0.6021,0.0062,5,26,9,0.02
0.7179,0.0053,5,55,15,0.08
0.6236,0.0046,5,52,16,-0.04
0.6948,0.004,5,32,6,0.04
0.6755,0.0039,5,51,19,0
0.5731,0.0035,5,57,28,-0.03
0.0379,0.0039,5,86,68,-0.21
0.5657,0.0037,5,49,37,0.21
0.836,0.0038,5,63,45,0.11
0.9076,0.0041,5,74,57,0.05
0.8791,0.0041,5,53,17,0.01
0.8898,0.0042,5,28,10,0.02
0.7906,0.0038,5,92,56,-0.03
0.9984,0.0043,5,32,4,0.11
1.1496,0.0053,5,91,50,0.15
1.0191,0.006,5,109,23,-0.02
0.9889,0.0066,5,74,21,0.04
1.0434,0.0075,5,52,10,0.11
0.9222,0.008,5,28,36,-0.04
0.6998,0.0079,5,77,61,-0.16
0.4592,0.0077,5,60,25,-0.18
0.2568,0.0078,5,47,27,-0.16
0.2813,0.0077,5,38,31,0.02
0.2231,0.0079,5,76,53,-0.05
